ID;Name;Type;Harshness;Vegan;CG;Notes
124;Prunus Persica Fruit Extract;Extract;N/A;Yes;Yes;
125;Pyrus Malus Fruit Extract;Extract;N/A;Yes;Yes;
126;Olus Oil;Emollient;N/A;Yes;Yes;
127;Polysorbate 80;Emulsifier;N/A;Not specified;Yes;
128;Linum Usitatissimum Seed Oil;Emollient;N/A;Yes;Yes;
129;Methylchloroisothiazolinone;Preservative;N/A;Yes;Yes;Itchy M's alert. May cause allergic reaction - itching and hair loss
130;Methylisothiazolinone;Preservative;N/A;Yes;Yes;Itchy M's alert. May cause allergic reaction - itching and hair loss
131;Benzophenone-3;Filtr UV;N/A;Yes;Yes;
132;Dipropylene Glycol;Goodie;N/A;Yes;Yes;
133;Disodium Edta;Chelating;N/A;Yes;Yes;
134;Astrocaryum Murumuru Seed Buiter;Emollient;N/A;Yes;Yes;
135;Geraniol;Fragrance;N/A;Yes;Yes;
136;12-Hexanediol;Preservative;N/A;Yes;Yes;
137;1,2-Hexanediol;Preservative;N/A;Yes;Yes;
138;Alcohol;Alcohol;Harsh;Yes;No;Causes drying. Acceptable as a preservative and in  a scalp tonic. Not recommended for sensitive scalp.
139;Salvia Officinalis;Extract;N/A;Yes;Yes;
140;Rubus Chamaemorus;Extract;N/A;Yes;Yes;
141;Rhodiola Rosea;Extract;N/A;Yes;Yes;
142;Salvia Officinalis Extract;Extract;N/A;Yes;Yes;
143;Rubus Chamaemorus Extract;Extract;N/A;Yes;Yes;
144;Rhodiola Rosea Extract;Extract;N/A;Yes;Yes;
145;Betula Alba Juice;Goodie;N/A;Yes;Yes;
146;Avena Sativa Oat;Extract;N/A;Yes;Yes;
147;Arctium Lappa Seed Oil;Emollient;N/A;Yes;Yes;
148;Ribes Nigrum Seed Oil;Emollient;N/A;Yes;Yes;
149;Linum Usitassimum Seed Oil;Emollient;N/A;Yes;Yes;
150;Pyridoxine (Wit. B6);Vitamin;N/A;Yes;Yes;
151;Panthenol (Wit.B5);Humectant;N/A;Yes;Yes;
152;Niacinamide (Wit.Pp);Vitamin;N/A;Yes;Yes;
153;Niacinamide;Vitamin;N/A;Yes;Yes;
154;Pyridoxine;Vitamin;N/A;Yes;Yes;
155;Ceteareth-20;Emollient;N/A;Yes;Yes;
156;Guar Gum;Goodie;N/A;Yes;Yes;
157;Sorbic Acid;Preservative;N/A;Yes;Yes;
158;Yeast Extract;Extract;N/A;Yes;Yes;
159;Inula Helenium Extract;Extract;N/A;Yes;Yes;
160;Arctostaphylos Uva Ursi Extract;Extract;N/A;Yes;Yes;
161;Silybum Marianum Extract;Extract;N/A;Yes;Yes;
162;Triticum Vulgare Germ Oil;Emollient;N/A;Yes;Yes;
163;Cetrionium Chloride;Detergent;Gentle;Yes;Yes;
164;Ribes Aureum Seed Oil;Emollient;N/A;Yes;Yes;
165;Alkyl Benzene Sulfonate;Detergent;Harsh;Yes;No;
166;Alkylbenzene Sulfonate;Detergent;Harsh;Yes;No;
167;Ammonium Cocoyl Sulfate;Detergent;Harsh;Yes;No;
168;Ammonium Laureth Sulfate;Detergent;Harsh;Yes;No;
169;Ammonium Lauryl Sulfate;Detergent;Harsh;Yes;No;
170;Ammonium Xylene-Sulfonate;Detergent;Harsh;Yes;No;
171;Ammonium Xylenesulfonate;Detergent;Harsh;Yes;No;
172;Ethyl Peg-15 Cocamine Sulfate;Detergent;Harsh;Yes;No;
173;Sodium Alkyl Sulfate;Detergent;Harsh;Yes;No;
174;Sodium C12-18 Alkyl Sulfate;Detergent;Harsh;Yes;No;
175;Sodium Cetearyl Sulfate;Detergent;Harsh;Yes;No;
176;Sodium Coceth Sulfate;Detergent;Harsh;Yes;No;
177;Sodium Coco Sulfate;Detergent;Harsh;Yes;No;
178;Sodium Coco-Sulfate;Detergent;Harsh;Yes;No;
179;Sodium Cocosulfate;Detergent;Harsh;Yes;No;
180;Sodium Laureth Sulfate;Detergent;Harsh;Yes;No;
181;Sodium Laureth-40 Sulfate;Detergent;Harsh;Yes;No;
182;Sodium Lauryl Sulfate;Detergent;Harsh;Yes;No;
183;Sodium Myreth Sulfate;Detergent;Harsh;Yes;No;
184;Sodium Polystyrene Sulfate;Detergent;Harsh;Yes;No;
185;Sodium Xylene-Sulfonate;Detergent;Harsh;Yes;No;
186;Sodium Xylenesulfonate;Detergent;Harsh;Yes;No;
187;Tea-Dodecylbenzenesulfonate;Detergent;Harsh;Yes;No;
188;Tea Lauryl Sulfate;Detergent;Harsh;Yes;No;
189;Tea Dodecylbenzenesulfonate;Detergent;Harsh;Yes;No;
190;Triethanolamine Lauryl Sulfate;Detergent;Harsh;Yes;No;
191;Dicotyl Sodium Sulfosuccinate;Detergent;Mild;Yes;Yes;
192;Disodium Cocoyl Glutamate;Detergent;Mild;Yes;Not specified;
193;Olefin Sulfonate;Detergent;Mild;Yes;Not specified;
194;Sodium C 14-18 Olefin Sulfonate;Detergent;Mild;Yes;Not specified;
195;Sodium C 16-18 Olefin Sulfonate;Detergent;Mild;Yes;Not specified;
196;Sodium C 12-14 Olefin Sulfonate;Detergent;Mild;Yes;Not specified;
197;Sodium C 14-15 Olefin Sulfonate;Detergent;Mild;Yes;Not specified;
198;Sodium C 14-16 Olefin Sulfonate;Detergent;Mild;Yes;Not specified;
199;Sodium C 16-26 Olefin Sulfonate;Detergent;Mild;Yes;Not specified;
200;Sodium Cocoyl Glutamate;Detergent;Mild;Yes;Not specified;
201;Sodium Cocoyl Sarcosinate;Detergent;Mild;Yes;Not specified;
202;Sodium Lauroyl Sarcosinate;Detergent;Mild;Yes;Not specified;
203;Sodium Lauroyl Sarcosine;Detergent;Mild;Yes;Not specified;
204;Sodium Lauroylmethyl Isethionate;Detergent;Mild;Yes;Not specified;
205;Sodium Lauryl Methyl Isothionate;Detergent;Mild;Yes;Not specified;
206;Sodium Lauryl Sarcosinate;Detergent;Mild;Yes;Not specified;
207;Sodium Lauryl Sulfoacetate;Detergent;Mild;Yes;Not specified;
208;Sodium Myristoyl Sarcosinate;Detergent;Mild;Yes;Not specified;
209;Pinus Siberica Cone Oil;Emollient;N/A;Yes;No;
210;Rosa Canina Fruit Oil;Emollient;N/A;Yes;Yes;
211;Glucosamine;Goodie;N/A;No;Yes;
212;Ascorbic Acid;Vitamin;N/A;Yes;Yes;
213;Arctium Lappa Root Oil;Emollient;N/A;Yes;Yes;
214;Quaternium-91;Goodie;N/A;Yes;Yes;
215;Cetrimonium Methosulfate;Preservative;N/A;Yes;Yes;
216;Hippophae Rhamnoides Fruit Oil;Emollient;N/A;Yes;Yes;
217;Aralia Mandshurica Root Extract;Extract;N/A;Yes;Yes;
218;Bitumen;Goodie;N/A;Yes;Yes;
219;Capsicum Frutescens Fruit Extract;Extract;N/A;Yes;Yes;
220;Ricinus Communis Seed Oil;Emollient;N/A;Yes;Yes;
221;Ricinus Communis (Castor) Seed Oil;Emollient;N/A;Yes;Yes;
222;Organic Althaea Officinalis Root Extract;Extract;N/A;Yes;Yes;
223;Echinacea Purpurea Extract;Extract;N/A;Yes;Yes;
224;Guar Hydroxypropyltrimonium Chloride;Goodie;N/A;Yes;Yes;
225;Caramel;Barwnik;N/A;Not specified;Yes;
226;Malt;Goodie;N/A;Yes;Yes;
227;Hippophae Rhamnoides;Emollient;N/A;Yes;Yes;
228;Cucurbita Pepo;Emollient;N/A;Yes;Yes;
229;Corylus Avellana Seed;Emollient;N/A;Yes;Yes;
230;White Beeswax;Emollient;N/A;No;No;
231;Hydrolyzed Egg Protein;Protein;N/A;Yes;Yes;
232;Acrylates/Beheneth-25 Methacrylate Copolymer;Goodie;N/A;Yes;Yes;
233;Magnesium Nitrate;Preservative;N/A;Yes;Yes;
234;Sodium Hydroxide;Goodie;N/A;Yes;Yes;
235;Methylchlorothiazolinone;Preservative;N/A;Yes;Yes;
236;Magnesium Chloride;Goodie;N/A;Yes;Yes;
237;Coumarin;Fragrance;N/A;Yes;Yes;
238;Hydrolyzed Soy Protein;Protein;N/A;Yes;Yes;
239;Ci 19140;Barwnik;N/A;Yes;Yes;
240;Ci 15985;Barwnik;N/A;Yes;Yes;
241;Ci 42090;Barwnik;N/A;Yes;Yes;
242;Potassium Cetyl Phosphate;Emulsifier;N/A;Yes;Yes;
243;Theobroma Grandiflorum Seed Butter;Emollient;N/A;Yes;Yes;
244;Butyrospermum Parkii (Shea) Butter;Emollient;N/A;Yes;Yes;
245;Persea Gratissima (Avocado) Oil;Emollient;N/A;Yes;Yes;
246;Calcium Pantothenate;Goodie;N/A;Yes;Yes;
247;Sodium Ascorbyl Phosphate;Vitamin;N/A;Yes;Yes;
248;Maltodextrin;Goodie;N/A;Yes;Yes;
249;Sodium Starch Octenylsuccinate;Emulsifier;N/A;Yes;Yes;
250;Cellulose;Goodie;N/A;Yes;Yes;
251;Perfume;Fragrance;N/A;Yes;Yes;
252;Caprylyl Glycol;Emollient;N/A;Yes;Yes;
253;Silica;Goodie;N/A;Yes;Yes;
254;Hippophae Rhamnoides Water;Extract;N/A;Yes;Yes;
255;Simmondsia Chinensis Seed Oil;Emollient;N/A;Yes;Yes;
256;Citrus Limon Juice;Extract;N/A;Yes;Yes;
257;Tilia Cordata Flower Extract;Extract;N/A;Yes;Yes;
258;Glyceryl Monostearate;Emollient;N/A;Not specified;Yes;
259;Phospholipids;Emollient;N/A;Not specified;Yes;
260;Arginine;Protein;N/A;Not specified;Yes;
261;Glycine;Protein;N/A;Not specified;Yes;
262;Proline;Protein;N/A;Not specified;Yes;
263;Sphingolipids;Emollient;N/A;Yes;Yes;
264;Ci 47005;Barwnik;N/A;Yes;Yes;
265;Olea Europaea Fruit Oil;Emollient;N/A;Yes;Yes;
266;Carthamus Tinctorius Seed Oil;Emollient;N/A;Yes;Yes;
267;Macadamia Integrifolia Seed Oil;Emollient;N/A;Yes;Yes;
268;Simmondsia Chinensis Seed Oil;Emollient;N/A;Yes;Yes;
